heap-sort,2,153619
merge-sort,2,64608
quick-sort,1,217773
counting-sort,0,10000
radix-sort,0,40000
flash-sort,0,25490
selection-sort,1554,449985000
insertion-sort,2136,449985000
binary-insertion-sort,1273,387248
bubble-sort,4754,449985000
shaker-sort,4803,449985000
shell-sort,3,567016
heap-sort,7,531535
merge-sort,8,219504
quick-sort,5,754069
counting-sort,0,30000
radix-sort,3,150000
flash-sort,1,75470
selection-sort,4224,1249975000
insertion-sort,8078,1249975000
binary-insertion-sort,3984,684481
bubble-sort,13865,1249975000
shaker-sort,12188,1249975000
shell-sort,6,1047305
heap-sort,14,939630
merge-sort,15,382512
quick-sort,10,1342177
counting-sort,1,50000
radix-sort,5,250000
flash-sort,2,125450
selection-sort,19853,4999950000
insertion-sort,31181,4999950000
binary-insertion-sort,15464,1468946
bubble-sort,55432,4999950000
shaker-sort,48443,4999950000
shell-sort,12,2244585
heap-sort,27,2024810
merge-sort,28,815024
quick-sort,19,2918403
counting-sort,1,100000
radix-sort,9,500000
flash-sort,3,250400
selection-sort,172346,44999850000
insertion-sort,228744,44999850000
binary-insertion-sort,140996,4875732
bubble-sort,486819,44999850000
shaker-sort,424410,44999850000
shell-sort,41,7300919
heap-sort,95,6779553
merge-sort,93,2678448
quick-sort,72,9862089
counting-sort,5,300000
radix-sort,38,1800000
flash-sort,12,750200
selection-sort,399650,124999750000
insertion-sort,551555,124999750000
binary-insertion-sort,335858,8475732
bubble-sort,1335471,124999750000
shaker-sort,1216722,124999750000
shell-sort,68,12428778
heap-sort,154,11868557
merge-sort,143,4692496
quick-sort,119,17223916
counting-sort,9,500000
radix-sort,57,3000000
flash-sort,18,1250000
